Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Carson Wentz (11047089),Carson Wentz,11047089,CPT,16800,ATL@PHI 09/06/2018 08:20PM ET,PHI,23.36
WR,Julio Jones (11047090),Julio Jones,11047090,CPT,16200,ATL@PHI 09/06/2018 08:20PM ET,ATL,17.32
QB,Matt Ryan (11047091),Matt Ryan,11047091,CPT,15300,ATL@PHI 09/06/2018 08:20PM ET,ATL,15.60
QB,Nick Foles (11047092),Nick Foles,11047092,CPT,14700,ATL@PHI 09/06/2018 08:20PM ET,PHI,8.5
RB,Devonta Freeman (11047093),Devonta Freeman,11047093,CPT,12900,ATL@PHI 09/06/2018 08:20PM ET,ATL,14.71
TE,Zach Ertz (11047094),Zach Ertz,11047094,CPT,12300,ATL@PHI 09/06/2018 08:20PM ET,PHI,14.37
QB,Carson Wentz (11047025),Carson Wentz,11047025,FLEX,11200,ATL@PHI 09/06/2018 08:20PM ET,PHI,23.36
RB,Jay Ajayi (11047095),Jay Ajayi,11047095,CPT,11100,ATL@PHI 09/06/2018 08:20PM ET,PHI,10.49
WR,Julio Jones (11047026),Julio Jones,11047026,FLEX,10800,ATL@PHI 09/06/2018 08:20PM ET,ATL,17.32
WR,Alshon Jeffery (11047096),Alshon Jeffery,11047096,CPT,10800,ATL@PHI 09/06/2018 08:20PM ET,PHI,12.86
WR,Nelson Agholor (11047097),Nelson Agholor,11047097,CPT,10500,ATL@PHI 09/06/2018 08:20PM ET,PHI,11.82
QB,Matt Ryan (11047027),Matt Ryan,11047027,FLEX,10200,ATL@PHI 09/06/2018 08:20PM ET,ATL,15.60
QB,Nick Foles (11047028),Nick Foles,11047028,FLEX,9800,ATL@PHI 09/06/2018 08:20PM ET,PHI,8.5
RB,Tevin Coleman (11047098),Tevin Coleman,11047098,CPT,9300,ATL@PHI 09/06/2018 08:20PM ET,ATL,11.05
QB,Matt Schaub (11047099),Matt Schaub,11047099,CPT,9000,ATL@PHI 09/06/2018 08:20PM ET,ATL,0
RB,Devonta Freeman (11047029),Devonta Freeman,11047029,FLEX,8600,ATL@PHI 09/06/2018 08:20PM ET,ATL,14.71
WR,Calvin Ridley (11047100),Calvin Ridley,11047100,CPT,8400,ATL@PHI 09/06/2018 08:20PM ET,ATL,0
TE,Zach Ertz (11047030),Zach Ertz,11047030,FLEX,8200,ATL@PHI 09/06/2018 08:20PM ET,PHI,14.37
WR,Mohamed Sanu (11047101),Mohamed Sanu,11047101,CPT,8100,ATL@PHI 09/06/2018 08:20PM ET,ATL,11.40
RB,Jay Ajayi (11047031),Jay Ajayi,11047031,FLEX,7400,ATL@PHI 09/06/2018 08:20PM ET,PHI,10.49
WR,Alshon Jeffery (11047032),Alshon Jeffery,11047032,FLEX,7200,ATL@PHI 09/06/2018 08:20PM ET,PHI,12.86
WR,Mike Wallace (11047102),Mike Wallace,11047102,CPT,7200,ATL@PHI 09/06/2018 08:20PM ET,PHI,10.48
WR,Nelson Agholor (11047033),Nelson Agholor,11047033,FLEX,7000,ATL@PHI 09/06/2018 08:20PM ET,PHI,11.82
TE,Austin Hooper (11047103),Austin Hooper,11047103,CPT,6900,ATL@PHI 09/06/2018 08:20PM ET,ATL,7.13
K,Jake Elliott (11047104),Jake Elliott,11047104,CPT,6600,ATL@PHI 09/06/2018 08:20PM ET,PHI,9.29
QB,Garrett Grayson (11047105),Garrett Grayson,11047105,CPT,6300,ATL@PHI 09/06/2018 08:20PM ET,ATL,0
QB,Nate Sudfeld (11047106),Nate Sudfeld,11047106,CPT,6300,ATL@PHI 09/06/2018 08:20PM ET,PHI,3.58
RB,Tevin Coleman (11047034),Tevin Coleman,11047034,FLEX,6200,ATL@PHI 09/06/2018 08:20PM ET,ATL,11.05
QB,Matt Schaub (11047035),Matt Schaub,11047035,FLEX,6000,ATL@PHI 09/06/2018 08:20PM ET,ATL,0
K,Matt Bryant (11047107),Matt Bryant,11047107,CPT,6000,ATL@PHI 09/06/2018 08:20PM ET,ATL,10.22
DST,Eagles  (11047108),Eagles ,11047108,CPT,5700,ATL@PHI 09/06/2018 08:20PM ET,PHI,10.78
WR,Calvin Ridley (11047036),Calvin Ridley,11047036,FLEX,5600,ATL@PHI 09/06/2018 08:20PM ET,ATL,0
WR,Mohamed Sanu (11047037),Mohamed Sanu,11047037,FLEX,5400,ATL@PHI 09/06/2018 08:20PM ET,ATL,11.40
RB,Darren Sproles (11047109),Darren Sproles,11047109,CPT,5400,ATL@PHI 09/06/2018 08:20PM ET,PHI,6.47
