Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Aaron Rodgers (11182684),Aaron Rodgers,11182684,CPT,20100,CHI@GB 09/09/2018 08:20PM ET,GB,20.8
WR,Davante Adams (11182685),Davante Adams,11182685,CPT,16800,CHI@GB 09/09/2018 08:20PM ET,GB,16.11
QB,Mitchell Trubisky (11182686),Mitchell Trubisky,11182686,CPT,14100,CHI@GB 09/09/2018 08:20PM ET,CHI,12.29
QB,Aaron Rodgers (11182621),Aaron Rodgers,11182621,FLEX,13400,CHI@GB 09/09/2018 08:20PM ET,GB,20.8
WR,Allen Robinson II (11182687),Allen Robinson II,11182687,CPT,12300,CHI@GB 09/09/2018 08:20PM ET,CHI,2.7
RB,Jordan Howard (11182688),Jordan Howard,11182688,CPT,12000,CHI@GB 09/09/2018 08:20PM ET,CHI,13.48
TE,Jimmy Graham (11182689),Jimmy Graham,11182689,CPT,11700,CHI@GB 09/09/2018 08:20PM ET,GB,10.69
RB,Jamaal Williams (11182690),Jamaal Williams,11182690,CPT,11400,CHI@GB 09/09/2018 08:20PM ET,GB,9.11
WR,Davante Adams (11182622),Davante Adams,11182622,FLEX,11200,CHI@GB 09/09/2018 08:20PM ET,GB,16.11
RB,Tarik Cohen (11182691),Tarik Cohen,11182691,CPT,9900,CHI@GB 09/09/2018 08:20PM ET,CHI,9.51
TE,Trey Burton (11182692),Trey Burton,11182692,CPT,9600,CHI@GB 09/09/2018 08:20PM ET,CHI,4.82
QB,Mitchell Trubisky (11182623),Mitchell Trubisky,11182623,FLEX,9400,CHI@GB 09/09/2018 08:20PM ET,CHI,12.29
WR,Randall Cobb (11182693),Randall Cobb,11182693,CPT,9300,CHI@GB 09/09/2018 08:20PM ET,GB,10.63
WR,Allen Robinson II (11182624),Allen Robinson II,11182624,FLEX,8200,CHI@GB 09/09/2018 08:20PM ET,CHI,2.7
WR,Anthony Miller (11182694),Anthony Miller,11182694,CPT,8100,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Jordan Howard (11182625),Jordan Howard,11182625,FLEX,8000,CHI@GB 09/09/2018 08:20PM ET,CHI,13.48
TE,Jimmy Graham (11182626),Jimmy Graham,11182626,FLEX,7800,CHI@GB 09/09/2018 08:20PM ET,GB,10.69
WR,Geronimo Allison (11182695),Geronimo Allison,11182695,CPT,7800,CHI@GB 09/09/2018 08:20PM ET,GB,3.35
RB,Jamaal Williams (11182627),Jamaal Williams,11182627,FLEX,7600,CHI@GB 09/09/2018 08:20PM ET,GB,9.11
RB,Tarik Cohen (11182628),Tarik Cohen,11182628,FLEX,6600,CHI@GB 09/09/2018 08:20PM ET,CHI,9.51
RB,Ty Montgomery (11182696),Ty Montgomery,11182696,CPT,6600,CHI@GB 09/09/2018 08:20PM ET,GB,11.45
TE,Trey Burton (11182629),Trey Burton,11182629,FLEX,6400,CHI@GB 09/09/2018 08:20PM ET,CHI,4.82
WR,Taylor Gabriel (11182697),Taylor Gabriel,11182697,CPT,6300,CHI@GB 09/09/2018 08:20PM ET,CHI,4.67
WR,Randall Cobb (11182630),Randall Cobb,11182630,FLEX,6200,CHI@GB 09/09/2018 08:20PM ET,GB,10.63
QB,Chase Daniel (11182698),Chase Daniel,11182698,CPT,6000,CHI@GB 09/09/2018 08:20PM ET,CHI,-0.2
QB,Tyler Bray (11182699),Tyler Bray,11182699,CPT,6000,CHI@GB 09/09/2018 08:20PM ET,CHI,-1
QB,DeShone Kizer (11182700),DeShone Kizer,11182700,CPT,6000,CHI@GB 09/09/2018 08:20PM ET,GB,13.78
QB,Tim Boyle (11182701),Tim Boyle,11182701,CPT,6000,CHI@GB 09/09/2018 08:20PM ET,GB,0
K,Mason Crosby (11182702),Mason Crosby,11182702,CPT,5700,CHI@GB 09/09/2018 08:20PM ET,GB,5.25
WR,Anthony Miller (11182631),Anthony Miller,11182631,FLEX,5400,CHI@GB 09/09/2018 08:20PM ET,CHI,0
DST,Packers  (11182703),Packers ,11182703,CPT,5400,CHI@GB 09/09/2018 08:20PM ET,GB,5.94
WR,Geronimo Allison (11182632),Geronimo Allison,11182632,FLEX,5200,CHI@GB 09/09/2018 08:20PM ET,GB,3.35
WR,Kevin White (11182704),Kevin White,11182704,CPT,5100,CHI@GB 09/09/2018 08:20PM ET,CHI,2.6
K,Cody Parkey (11182705),Cody Parkey,11182705,CPT,4800,CHI@GB 09/09/2018 08:20PM ET,CHI,6.06
RB,Ty Montgomery (11182633),Ty Montgomery,11182633,FLEX,4400,CHI@GB 09/09/2018 08:20PM ET,GB,11.45
WR,Taylor Gabriel (11182634),Taylor Gabriel,11182634,FLEX,4200,CHI@GB 09/09/2018 08:20PM ET,CHI,4.67
QB,Chase Daniel (11182635),Chase Daniel,11182635,FLEX,4000,CHI@GB 09/09/2018 08:20PM ET,CHI,-0.2
QB,Tyler Bray (11182636),Tyler Bray,11182636,FLEX,4000,CHI@GB 09/09/2018 08:20PM ET,CHI,-1
QB,DeShone Kizer (11182637),DeShone Kizer,11182637,FLEX,4000,CHI@GB 09/09/2018 08:20PM ET,GB,13.78
QB,Tim Boyle (11182638),Tim Boyle,11182638,FLEX,4000,CHI@GB 09/09/2018 08:20PM ET,GB,0
K,Mason Crosby (11182639),Mason Crosby,11182639,FLEX,3800,CHI@GB 09/09/2018 08:20PM ET,GB,5.25
DST,Packers  (11182640),Packers ,11182640,FLEX,3600,CHI@GB 09/09/2018 08:20PM ET,GB,5.94
DST,Bears  (11182706),Bears ,11182706,CPT,3600,CHI@GB 09/09/2018 08:20PM ET,CHI,8.62
WR,Kevin White (11182641),Kevin White,11182641,FLEX,3400,CHI@GB 09/09/2018 08:20PM ET,CHI,2.6
K,Cody Parkey (11182642),Cody Parkey,11182642,FLEX,3200,CHI@GB 09/09/2018 08:20PM ET,CHI,6.06
DST,Bears  (11182643),Bears ,11182643,FLEX,2400,CHI@GB 09/09/2018 08:20PM ET,CHI,8.62
RB,Benny Cunningham (11182707),Benny Cunningham,11182707,CPT,2400,CHI@GB 09/09/2018 08:20PM ET,CHI,4.14
TE,Marcedes Lewis (11182708),Marcedes Lewis,11182708,CPT,1800,CHI@GB 09/09/2018 08:20PM ET,GB,5.26
TE,Adam Shaheen (11182709),Adam Shaheen,11182709,CPT,1800,CHI@GB 09/09/2018 08:20PM ET,CHI,3.28
RB,Benny Cunningham (11182644),Benny Cunningham,11182644,FLEX,1600,CHI@GB 09/09/2018 08:20PM ET,CHI,4.14
WR,Bennie Fowler (11182710),Bennie Fowler,11182710,CPT,1500,CHI@GB 09/09/2018 08:20PM ET,CHI,5.12
WR,Josh Bellamy (11182711),Josh Bellamy,11182711,CPT,1500,CHI@GB 09/09/2018 08:20PM ET,CHI,4.55
TE,Marcedes Lewis (11182645),Marcedes Lewis,11182645,FLEX,1200,CHI@GB 09/09/2018 08:20PM ET,GB,5.26
TE,Adam Shaheen (11182646),Adam Shaheen,11182646,FLEX,1200,CHI@GB 09/09/2018 08:20PM ET,CHI,3.28
RB,Joel Bouagnon (11182712),Joel Bouagnon,11182712,CPT,1200,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Bennie Fowler (11182647),Bennie Fowler,11182647,FLEX,1000,CHI@GB 09/09/2018 08:20PM ET,CHI,5.12
WR,Josh Bellamy (11182648),Josh Bellamy,11182648,FLEX,1000,CHI@GB 09/09/2018 08:20PM ET,CHI,4.55
WR,Equanimeous St. Brown (11182713),Equanimeous St. Brown,11182713,CPT,900,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Javon Wims (11182714),Javon Wims,11182714,CPT,900,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Taquan Mizzell (11182715),Taquan Mizzell,11182715,CPT,900,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Joel Bouagnon (11182649),Joel Bouagnon,11182649,FLEX,800,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Equanimeous St. Brown (11182650),Equanimeous St. Brown,11182650,FLEX,600,CHI@GB 09/09/2018 08:20PM ET,GB,0
WR,Javon Wims (11182651),Javon Wims,11182651,FLEX,600,CHI@GB 09/09/2018 08:20PM ET,CHI,0
RB,Taquan Mizzell (11182652),Taquan Mizzell,11182652,FLEX,600,CHI@GB 09/09/2018 08:20PM ET,CHI,0
WR,Trevor Davis (11182716),Trevor Davis,11182716,CPT,300,CHI@GB 09/09/2018 08:20PM ET,GB,0.83
