Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Cam Newton (11182560),Cam Newton,11182560,CPT,18000,DAL@CAR 09/09/2018 04:25PM ET,CAR,20.66
RB,Ezekiel Elliott (11182561),Ezekiel Elliott,11182561,CPT,17700,DAL@CAR 09/09/2018 04:25PM ET,DAL,21.92
RB,Christian McCaffrey (11182562),Christian McCaffrey,11182562,CPT,16800,DAL@CAR 09/09/2018 04:25PM ET,CAR,15.25
QB,Dak Prescott (11182563),Dak Prescott,11182563,CPT,15000,DAL@CAR 09/09/2018 04:25PM ET,DAL,17.48
TE,Greg Olsen (11182564),Greg Olsen,11182564,CPT,12300,DAL@CAR 09/09/2018 04:25PM ET,CAR,9.1
QB,Cam Newton (11182499),Cam Newton,11182499,FLEX,12000,DAL@CAR 09/09/2018 04:25PM ET,CAR,20.66
RB,Ezekiel Elliott (11182500),Ezekiel Elliott,11182500,FLEX,11800,DAL@CAR 09/09/2018 04:25PM ET,DAL,21.92
WR,Devin Funchess (11182565),Devin Funchess,11182565,CPT,11700,DAL@CAR 09/09/2018 04:25PM ET,CAR,12.35
RB,Christian McCaffrey (11182501),Christian McCaffrey,11182501,FLEX,11200,DAL@CAR 09/09/2018 04:25PM ET,CAR,15.25
WR,Allen Hurns (11182566),Allen Hurns,11182566,CPT,10500,DAL@CAR 09/09/2018 04:25PM ET,DAL,9.12
QB,Dak Prescott (11182502),Dak Prescott,11182502,FLEX,10000,DAL@CAR 09/09/2018 04:25PM ET,DAL,17.48
WR,D.J. Moore (11182567),D.J. Moore,11182567,CPT,9300,DAL@CAR 09/09/2018 04:25PM ET,CAR,0
TE,Greg Olsen (11182503),Greg Olsen,11182503,FLEX,8200,DAL@CAR 09/09/2018 04:25PM ET,CAR,9.1
WR,Michael Gallup (11182568),Michael Gallup,11182568,CPT,8100,DAL@CAR 09/09/2018 04:25PM ET,DAL,0
WR,Devin Funchess (11182504),Devin Funchess,11182504,FLEX,7800,DAL@CAR 09/09/2018 04:25PM ET,CAR,12.35
WR,Cole Beasley (11182569),Cole Beasley,11182569,CPT,7200,DAL@CAR 09/09/2018 04:25PM ET,DAL,6.09
WR,Allen Hurns (11182505),Allen Hurns,11182505,FLEX,7000,DAL@CAR 09/09/2018 04:25PM ET,DAL,9.12
WR,Terrance Williams (11182570),Terrance Williams,11182570,CPT,6900,DAL@CAR 09/09/2018 04:25PM ET,DAL,7.14
K,Dan Bailey (11182571),Dan Bailey,11182571,CPT,6600,DAL@CAR 09/09/2018 04:25PM ET,DAL,6.75
DST,Panthers  (11182572),Panthers ,11182572,CPT,6300,DAL@CAR 09/09/2018 04:25PM ET,CAR,8.24
WR,D.J. Moore (11182506),D.J. Moore,11182506,FLEX,6200,DAL@CAR 09/09/2018 04:25PM ET,CAR,0
QB,Cooper Rush (11182573),Cooper Rush,11182573,CPT,6000,DAL@CAR 09/09/2018 04:25PM ET,DAL,0.69
QB,Garrett Gilbert (11182574),Garrett Gilbert,11182574,CPT,6000,DAL@CAR 09/09/2018 04:25PM ET,CAR,0
