Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jared Goff (11233002),Jared Goff,11233002,CPT,18000,LAR@OAK 09/10/2018 10:20PM ET,LAR,18.41
RB,Todd Gurley II (11233003),Todd Gurley II,11233003,CPT,17100,LAR@OAK 09/10/2018 10:20PM ET,LAR,26.52
QB,Derek Carr (11233004),Derek Carr,11233004,CPT,16200,LAR@OAK 09/10/2018 10:20PM ET,OAK,15.43
WR,Amari Cooper (11233005),Amari Cooper,11233005,CPT,13800,LAR@OAK 09/10/2018 10:20PM ET,OAK,11.74
WR,Brandin Cooks (11233006),Brandin Cooks,11233006,CPT,12600,LAR@OAK 09/10/2018 10:20PM ET,LAR,14.02
QB,Jared Goff (11232965),Jared Goff,11232965,FLEX,12000,LAR@OAK 09/10/2018 10:20PM ET,LAR,18.41
RB,Todd Gurley II (11232966),Todd Gurley II,11232966,FLEX,11400,LAR@OAK 09/10/2018 10:20PM ET,LAR,26.52
WR,Robert Woods (11233007),Robert Woods,11233007,CPT,11400,LAR@OAK 09/10/2018 10:20PM ET,LAR,15.12
QB,Derek Carr (11232967),Derek Carr,11232967,FLEX,10800,LAR@OAK 09/10/2018 10:20PM ET,OAK,15.43
WR,Cooper Kupp (11233008),Cooper Kupp,11233008,CPT,10500,LAR@OAK 09/10/2018 10:20PM ET,LAR,12.8
RB,Marshawn Lynch (11233009),Marshawn Lynch,11233009,CPT,10200,LAR@OAK 09/10/2018 10:20PM ET,OAK,11.41
QB,AJ McCarron (11233010),AJ McCarron,11233010,CPT,9900,LAR@OAK 09/10/2018 10:20PM ET,OAK,0.88
WR,Jordy Nelson (11233011),Jordy Nelson,11233011,CPT,9600,LAR@OAK 09/10/2018 10:20PM ET,OAK,9.15
WR,Amari Cooper (11232968),Amari Cooper,11232968,FLEX,9200,LAR@OAK 09/10/2018 10:20PM ET,OAK,11.74
WR,Brandin Cooks (11232969),Brandin Cooks,11232969,FLEX,8400,LAR@OAK 09/10/2018 10:20PM ET,LAR,14.02
TE,Jared Cook (11233012),Jared Cook,11233012,CPT,8400,LAR@OAK 09/10/2018 10:20PM ET,OAK,8.74
WR,Robert Woods (11232970),Robert Woods,11232970,FLEX,7600,LAR@OAK 09/10/2018 10:20PM ET,LAR,15.12
QB,Brandon Allen (11233013),Brandon Allen,11233013,CPT,7500,LAR@OAK 09/10/2018 10:20PM ET,LAR,0
QB,Sean Mannion (11233014),Sean Mannion,11233014,CPT,7500,LAR@OAK 09/10/2018 10:20PM ET,LAR,1.24
RB,Doug Martin (11233015),Doug Martin,11233015,CPT,7200,LAR@OAK 09/10/2018 10:20PM ET,OAK,7
WR,Cooper Kupp (11232971),Cooper Kupp,11232971,FLEX,7000,LAR@OAK 09/10/2018 10:20PM ET,LAR,12.8
RB,Marshawn Lynch (11232972),Marshawn Lynch,11232972,FLEX,6800,LAR@OAK 09/10/2018 10:20PM ET,OAK,11.41
QB,AJ McCarron (11232973),AJ McCarron,11232973,FLEX,6600,LAR@OAK 09/10/2018 10:20PM ET,OAK,0.88
WR,Jordy Nelson (11232974),Jordy Nelson,11232974,FLEX,6400,LAR@OAK 09/10/2018 10:20PM ET,OAK,9.15
WR,Brandon LaFell (11233016),Brandon LaFell,11233016,CPT,6000,LAR@OAK 09/10/2018 10:20PM ET,OAK,7.8
K,Greg Zuerlein (11233017),Greg Zuerlein,11233017,CPT,5700,LAR@OAK 09/10/2018 10:20PM ET,LAR,13
TE,Jared Cook (11232975),Jared Cook,11232975,FLEX,5600,LAR@OAK 09/10/2018 10:20PM ET,OAK,8.74
DST,Rams  (11233018),Rams ,11233018,CPT,5400,LAR@OAK 09/10/2018 10:20PM ET,LAR,10.29
TE,Tyler Higbee (11233019),Tyler Higbee,11233019,CPT,5100,LAR@OAK 09/10/2018 10:20PM ET,LAR,3.68
QB,Brandon Allen (11232976),Brandon Allen,11232976,FLEX,5000,LAR@OAK 09/10/2018 10:20PM ET,LAR,0
QB,Sean Mannion (11232977),Sean Mannion,11232977,FLEX,5000,LAR@OAK 09/10/2018 10:20PM ET,LAR,1.24
RB,Doug Martin (11232978),Doug Martin,11232978,FLEX,4800,LAR@OAK 09/10/2018 10:20PM ET,OAK,7
K,Mike Nugent (11233020),Mike Nugent,11233020,CPT,4800,LAR@OAK 09/10/2018 10:20PM ET,OAK,6.75
WR,Seth Roberts (11233021),Seth Roberts,11233021,CPT,4500,LAR@OAK 09/10/2018 10:20PM ET,OAK,6.17
WR,Brandon LaFell (11232979),Brandon LaFell,11232979,FLEX,4000,LAR@OAK 09/10/2018 10:20PM ET,OAK,7.8
DST,Raiders  (11233022),Raiders ,11233022,CPT,3900,LAR@OAK 09/10/2018 10:20PM ET,OAK,4.38
K,Greg Zuerlein (11232980),Greg Zuerlein,11232980,FLEX,3800,LAR@OAK 09/10/2018 10:20PM ET,LAR,13
DST,Rams  (11232981),Rams ,11232981,FLEX,3600,LAR@OAK 09/10/2018 10:20PM ET,LAR,10.29
TE,Gerald Everett (11233023),Gerald Everett,11233023,CPT,3600,LAR@OAK 09/10/2018 10:20PM ET,LAR,3.18
TE,Tyler Higbee (11232982),Tyler Higbee,11232982,FLEX,3400,LAR@OAK 09/10/2018 10:20PM ET,LAR,3.68
K,Mike Nugent (11232983),Mike Nugent,11232983,FLEX,3200,LAR@OAK 09/10/2018 10:20PM ET,OAK,6.75
WR,Seth Roberts (11232984),Seth Roberts,11232984,FLEX,3000,LAR@OAK 09/10/2018 10:20PM ET,OAK,6.17
RB,John Kelly (11233024),John Kelly,11233024,CPT,3000,LAR@OAK 09/10/2018 10:20PM ET,LAR,0
RB,Jalen Richard (11233025),Jalen Richard,11233025,CPT,2700,LAR@OAK 09/10/2018 10:20PM ET,OAK,5.57
DST,Raiders  (11232985),Raiders ,11232985,FLEX,2600,LAR@OAK 09/10/2018 10:20PM ET,OAK,4.38
TE,Gerald Everett (11232986),Gerald Everett,11232986,FLEX,2400,LAR@OAK 09/10/2018 10:20PM ET,LAR,3.18
WR,Pharoh Cooper (11233026),Pharoh Cooper,11233026,CPT,2400,LAR@OAK 09/10/2018 10:20PM ET,LAR,1.41
RB,Malcolm Brown (11233027),Malcolm Brown,11233027,CPT,2100,LAR@OAK 09/10/2018 10:20PM ET,LAR,3.86
RB,John Kelly (11232987),John Kelly,11232987,FLEX,2000,LAR@OAK 09/10/2018 10:20PM ET,LAR,0
RB,Jalen Richard (11232988),Jalen Richard,11232988,FLEX,1800,LAR@OAK 09/10/2018 10:20PM ET,OAK,5.57
WR,Josh Reynolds (11233028),Josh Reynolds,11233028,CPT,1800,LAR@OAK 09/10/2018 10:20PM ET,LAR,1.61
WR,Pharoh Cooper (11232989),Pharoh Cooper,11232989,FLEX,1600,LAR@OAK 09/10/2018 10:20PM ET,LAR,1.41
RB,DeAndre Washington (11233029),DeAndre Washington,11233029,CPT,1500,LAR@OAK 09/10/2018 10:20PM ET,OAK,5.73
RB,Malcolm Brown (11232990),Malcolm Brown,11232990,FLEX,1400,LAR@OAK 09/10/2018 10:20PM ET,LAR,3.86
WR,Josh Reynolds (11232991),Josh Reynolds,11232991,FLEX,1200,LAR@OAK 09/10/2018 10:20PM ET,LAR,1.61
RB,DeAndre Washington (11232992),DeAndre Washington,11232992,FLEX,1000,LAR@OAK 09/10/2018 10:20PM ET,OAK,5.73
TE,Derek Carrier (11233030),Derek Carrier,11233030,CPT,900,LAR@OAK 09/10/2018 10:20PM ET,OAK,1.01
TE,Derek Carrier (11232993),Derek Carrier,11232993,FLEX,600,LAR@OAK 09/10/2018 10:20PM ET,OAK,1.01
WR,Michael Thomas (11233031),Michael Thomas,11233031,CPT,300,LAR@OAK 09/10/2018 10:20PM ET,LAR,1.79
RB,Keith Smith (11233032),Keith Smith,11233032,CPT,300,LAR@OAK 09/10/2018 10:20PM ET,OAK,0.48
TE,Andrew DePaola (11233033),Andrew DePaola,11233033,CPT,300,LAR@OAK 09/10/2018 10:20PM ET,OAK,0
WR,Keon Hatcher (11233034),Keon Hatcher,11233034,CPT,300,LAR@OAK 09/10/2018 10:20PM ET,OAK,0
