Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Matthew Stafford (11232926),Matthew Stafford,11232926,CPT,17400,NYJ@DET 09/10/2018 07:10PM ET,DET,19.10
WR,Golden Tate (11232927),Golden Tate,11232927,CPT,14400,NYJ@DET 09/10/2018 07:10PM ET,DET,14.66
WR,Marvin Jones Jr. (11232928),Marvin Jones Jr.,11232928,CPT,14100,NYJ@DET 09/10/2018 07:10PM ET,DET,14.63
QB,Sam Darnold (11232929),Sam Darnold,11232929,CPT,13800,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
WR,Robby Anderson (11232930),Robby Anderson,11232930,CPT,12000,NYJ@DET 09/10/2018 07:10PM ET,NYJ,13.06
QB,Matthew Stafford (11232887),Matthew Stafford,11232887,FLEX,11600,NYJ@DET 09/10/2018 07:10PM ET,DET,19.10
WR,Kenny Golladay (11232931),Kenny Golladay,11232931,CPT,11400,NYJ@DET 09/10/2018 07:10PM ET,DET,8.6
RB,Isaiah Crowell (11232932),Isaiah Crowell,11232932,CPT,10800,NYJ@DET 09/10/2018 07:10PM ET,NYJ,9.22
RB,Bilal Powell (11232933),Bilal Powell,11232933,CPT,10500,NYJ@DET 09/10/2018 07:10PM ET,NYJ,10.15
QB,Matt Cassel (11232934),Matt Cassel,11232934,CPT,10200,NYJ@DET 09/10/2018 07:10PM ET,DET,3.24
QB,Josh McCown (11232935),Josh McCown,11232935,CPT,10200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,17.50
RB,Kerryon Johnson (11232936),Kerryon Johnson,11232936,CPT,9900,NYJ@DET 09/10/2018 07:10PM ET,DET,0
WR,Golden Tate (11232888),Golden Tate,11232888,FLEX,9600,NYJ@DET 09/10/2018 07:10PM ET,DET,14.66
WR,Quincy Enunwa (11232937),Quincy Enunwa,11232937,CPT,9600,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
WR,Marvin Jones Jr. (11232889),Marvin Jones Jr.,11232889,FLEX,9400,NYJ@DET 09/10/2018 07:10PM ET,DET,14.63
QB,Sam Darnold (11232890),Sam Darnold,11232890,FLEX,9200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,0
RB,Theo Riddick (11232938),Theo Riddick,11232938,CPT,9000,NYJ@DET 09/10/2018 07:10PM ET,DET,9.69
RB,LeGarrette Blount (11232939),LeGarrette Blount,11232939,CPT,8700,NYJ@DET 09/10/2018 07:10PM ET,DET,7.09
WR,Robby Anderson (11232891),Robby Anderson,11232891,FLEX,8000,NYJ@DET 09/10/2018 07:10PM ET,NYJ,13.06
WR,Kenny Golladay (11232892),Kenny Golladay,11232892,FLEX,7600,NYJ@DET 09/10/2018 07:10PM ET,DET,8.6
RB,Isaiah Crowell (11232893),Isaiah Crowell,11232893,FLEX,7200,NYJ@DET 09/10/2018 07:10PM ET,NYJ,9.22
