Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Andy Dalton (11244081),Andy Dalton,11244081,CPT,16200,BAL@CIN 09/13/2018 08:20PM ET,CIN,14.36
QB,Joe Flacco (11244082),Joe Flacco,11244082,CPT,15900,BAL@CIN 09/13/2018 08:20PM ET,BAL,12.38
WR,A.J. Green (11244083),A.J. Green,11244083,CPT,15600,BAL@CIN 09/13/2018 08:20PM ET,CIN,14.86
RB,Joe Mixon (11244084),Joe Mixon,11244084,CPT,14700,BAL@CIN 09/13/2018 08:20PM ET,CIN,10.45
RB,Alex Collins (11244085),Alex Collins,11244085,CPT,13500,BAL@CIN 09/13/2018 08:20PM ET,BAL,11.93
WR,Michael Crabtree (11244086),Michael Crabtree,11244086,CPT,12600,BAL@CIN 09/13/2018 08:20PM ET,BAL,12.27
QB,Andy Dalton (11244040),Andy Dalton,11244040,FLEX,10800,BAL@CIN 09/13/2018 08:20PM ET,CIN,14.36
QB,Joe Flacco (11244041),Joe Flacco,11244041,FLEX,10600,BAL@CIN 09/13/2018 08:20PM ET,BAL,12.38
QB,Lamar Jackson (11244087),Lamar Jackson,11244087,CPT,10500,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
WR,A.J. Green (11244042),A.J. Green,11244042,FLEX,10400,BAL@CIN 09/13/2018 08:20PM ET,CIN,14.86
QB,Robert Griffin III (11244088),Robert Griffin III,11244088,CPT,10200,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
QB,Jeff Driskel (11244089),Jeff Driskel,11244089,CPT,10200,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
WR,John Brown (11244090),John Brown,11244090,CPT,9900,BAL@CIN 09/13/2018 08:20PM ET,BAL,6.99
RB,Joe Mixon (11244043),Joe Mixon,11244043,FLEX,9800,BAL@CIN 09/13/2018 08:20PM ET,CIN,10.45
RB,Alex Collins (11244044),Alex Collins,11244044,FLEX,9000,BAL@CIN 09/13/2018 08:20PM ET,BAL,11.93
TE,Tyler Eifert (11244091),Tyler Eifert,11244091,CPT,9000,BAL@CIN 09/13/2018 08:20PM ET,CIN,4.3
WR,John Ross (11244092),John Ross,11244092,CPT,8700,BAL@CIN 09/13/2018 08:20PM ET,CIN,0.07
WR,Michael Crabtree (11244045),Michael Crabtree,11244045,FLEX,8400,BAL@CIN 09/13/2018 08:20PM ET,BAL,12.27
WR,Willie Snead IV (11244093),Willie Snead IV,11244093,CPT,8400,BAL@CIN 09/13/2018 08:20PM ET,BAL,1.67
RB,Javorius Allen (11244094),Javorius Allen,11244094,CPT,8100,BAL@CIN 09/13/2018 08:20PM ET,BAL,10.38
QB,Lamar Jackson (11244046),Lamar Jackson,11244046,FLEX,7000,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
QB,Robert Griffin III (11244047),Robert Griffin III,11244047,FLEX,6800,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
QB,Jeff Driskel (11244048),Jeff Driskel,11244048,FLEX,6800,BAL@CIN 09/13/2018 08:20PM ET,CIN,0
WR,John Brown (11244049),John Brown,11244049,FLEX,6600,BAL@CIN 09/13/2018 08:20PM ET,BAL,6.99
RB,Giovani Bernard (11244095),Giovani Bernard,11244095,CPT,6600,BAL@CIN 09/13/2018 08:20PM ET,CIN,9.67
K,Justin Tucker (11244096),Justin Tucker,11244096,CPT,6300,BAL@CIN 09/13/2018 08:20PM ET,BAL,10.12
TE,Tyler Eifert (11244050),Tyler Eifert,11244050,FLEX,6000,BAL@CIN 09/13/2018 08:20PM ET,CIN,4.3
WR,John Ross (11244051),John Ross,11244051,FLEX,5800,BAL@CIN 09/13/2018 08:20PM ET,CIN,0.07
K,Randy Bullock (11244097),Randy Bullock,11244097,CPT,5700,BAL@CIN 09/13/2018 08:20PM ET,CIN,6.07
WR,Willie Snead IV (11244052),Willie Snead IV,11244052,FLEX,5600,BAL@CIN 09/13/2018 08:20PM ET,BAL,1.67
RB,Javorius Allen (11244053),Javorius Allen,11244053,FLEX,5400,BAL@CIN 09/13/2018 08:20PM ET,BAL,10.38
DST,Ravens  (11244098),Ravens ,11244098,CPT,5400,BAL@CIN 09/13/2018 08:20PM ET,BAL,11.69
WR,Tyler Boyd (11244099),Tyler Boyd,11244099,CPT,5100,BAL@CIN 09/13/2018 08:20PM ET,CIN,5.65
DST,Bengals  (11244100),Bengals ,11244100,CPT,4800,BAL@CIN 09/13/2018 08:20PM ET,CIN,6.31
RB,Giovani Bernard (11244054),Giovani Bernard,11244054,FLEX,4400,BAL@CIN 09/13/2018 08:20PM ET,CIN,9.67
K,Justin Tucker (11244055),Justin Tucker,11244055,FLEX,4200,BAL@CIN 09/13/2018 08:20PM ET,BAL,10.12
RB,Kenneth Dixon (11244101),Kenneth Dixon,11244101,CPT,3900,BAL@CIN 09/13/2018 08:20PM ET,BAL,0
K,Randy Bullock (11244056),Randy Bullock,11244056,FLEX,3800,BAL@CIN 09/13/2018 08:20PM ET,CIN,6.07
