Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Tom Brady (11259214),Tom Brady,11259214,CPT,18900,NE@JAX 09/16/2018 04:25PM ET,NE,22.28
TE,Rob Gronkowski (11259215),Rob Gronkowski,11259215,CPT,17100,NE@JAX 09/16/2018 04:25PM ET,NE,27.3
QB,Blake Bortles (11259216),Blake Bortles,11259216,CPT,15600,NE@JAX 09/16/2018 04:25PM ET,JAX,14.24
RB,Leonard Fournette (11259217),Leonard Fournette,11259217,CPT,14100,NE@JAX 09/16/2018 04:25PM ET,JAX,8.5
RB,T.J. Yeldon (11259218),T.J. Yeldon,11259218,CPT,13200,NE@JAX 09/16/2018 04:25PM ET,JAX,15.9
QB,Tom Brady (11259176),Tom Brady,11259176,FLEX,12600,NE@JAX 09/16/2018 04:25PM ET,NE,22.28
WR,Chris Hogan (11259219),Chris Hogan,11259219,CPT,11700,NE@JAX 09/16/2018 04:25PM ET,NE,2.1
TE,Rob Gronkowski (11259177),Rob Gronkowski,11259177,FLEX,11400,NE@JAX 09/16/2018 04:25PM ET,NE,27.3
WR,Keelan Cole (11259220),Keelan Cole,11259220,CPT,11400,NE@JAX 09/16/2018 04:25PM ET,JAX,8.4
RB,James White (11259221),James White,11259221,CPT,11100,NE@JAX 09/16/2018 04:25PM ET,NE,15.6
RB,Rex Burkhead (11259222),Rex Burkhead,11259222,CPT,10500,NE@JAX 09/16/2018 04:25PM ET,NE,7.9
QB,Blake Bortles (11259178),Blake Bortles,11259178,FLEX,10400,NE@JAX 09/16/2018 04:25PM ET,JAX,14.24
WR,Phillip Dorsett (11259223),Phillip Dorsett,11259223,CPT,9900,NE@JAX 09/16/2018 04:25PM ET,NE,19.6
RB,Leonard Fournette (11259179),Leonard Fournette,11259179,FLEX,9400,NE@JAX 09/16/2018 04:25PM ET,JAX,8.5
RB,T.J. Yeldon (11259180),T.J. Yeldon,11259180,FLEX,8800,NE@JAX 09/16/2018 04:25PM ET,JAX,15.9
WR,Dede Westbrook (11259224),Dede Westbrook,11259224,CPT,8700,NE@JAX 09/16/2018 04:25PM ET,JAX,10.1
QB,Brian Hoyer (11259225),Brian Hoyer,11259225,CPT,8100,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Chris Hogan (11259181),Chris Hogan,11259181,FLEX,7800,NE@JAX 09/16/2018 04:25PM ET,NE,2.1
QB,Cody Kessler (11259226),Cody Kessler,11259226,CPT,7800,NE@JAX 09/16/2018 04:25PM ET,JAX,0
WR,Keelan Cole (11259182),Keelan Cole,11259182,FLEX,7600,NE@JAX 09/16/2018 04:25PM ET,JAX,8.4
TE,Austin Seferian-Jenkins (11259227),Austin Seferian-Jenkins,11259227,CPT,7500,NE@JAX 09/16/2018 04:25PM ET,JAX,5.5
RB,James White (11259183),James White,11259183,FLEX,7400,NE@JAX 09/16/2018 04:25PM ET,NE,15.6
RB,Rex Burkhead (11259184),Rex Burkhead,11259184,FLEX,7000,NE@JAX 09/16/2018 04:25PM ET,NE,7.9
WR,Phillip Dorsett (11259185),Phillip Dorsett,11259185,FLEX,6600,NE@JAX 09/16/2018 04:25PM ET,NE,19.6
WR,Donte Moncrief (11259228),Donte Moncrief,11259228,CPT,6000,NE@JAX 09/16/2018 04:25PM ET,JAX,2.4
WR,Dede Westbrook (11259186),Dede Westbrook,11259186,FLEX,5800,NE@JAX 09/16/2018 04:25PM ET,JAX,10.1
RB,Corey Grant (11259229),Corey Grant,11259229,CPT,5700,NE@JAX 09/16/2018 04:25PM ET,JAX,0.3
QB,Brian Hoyer (11259187),Brian Hoyer,11259187,FLEX,5400,NE@JAX 09/16/2018 04:25PM ET,NE,0
K,Stephen Gostkowski (11259230),Stephen Gostkowski,11259230,CPT,5400,NE@JAX 09/16/2018 04:25PM ET,NE,9
QB,Cody Kessler (11259188),Cody Kessler,11259188,FLEX,5200,NE@JAX 09/16/2018 04:25PM ET,JAX,0
DST,Jaguars  (11259231),Jaguars ,11259231,CPT,5100,NE@JAX 09/16/2018 04:25PM ET,JAX,13
TE,Austin Seferian-Jenkins (11259189),Austin Seferian-Jenkins,11259189,FLEX,5000,NE@JAX 09/16/2018 04:25PM ET,JAX,5.5
DST,Patriots  (11259232),Patriots ,11259232,CPT,4800,NE@JAX 09/16/2018 04:25PM ET,NE,8
RB,Sony Michel (11259233),Sony Michel,11259233,CPT,4500,NE@JAX 09/16/2018 04:25PM ET,NE,0
K,Josh Lambo (11259234),Josh Lambo,11259234,CPT,4200,NE@JAX 09/16/2018 04:25PM ET,JAX,8
WR,Donte Moncrief (11259190),Donte Moncrief,11259190,FLEX,4000,NE@JAX 09/16/2018 04:25PM ET,JAX,2.4
WR,Cordarrelle Patterson (11259235),Cordarrelle Patterson,11259235,CPT,3900,NE@JAX 09/16/2018 04:25PM ET,NE,2.9
RB,Corey Grant (11259191),Corey Grant,11259191,FLEX,3800,NE@JAX 09/16/2018 04:25PM ET,JAX,0.3
K,Stephen Gostkowski (11259192),Stephen Gostkowski,11259192,FLEX,3600,NE@JAX 09/16/2018 04:25PM ET,NE,9
DST,Jaguars  (11259193),Jaguars ,11259193,FLEX,3400,NE@JAX 09/16/2018 04:25PM ET,JAX,13
DST,Patriots  (11259194),Patriots ,11259194,FLEX,3200,NE@JAX 09/16/2018 04:25PM ET,NE,8
RB,Sony Michel (11259195),Sony Michel,11259195,FLEX,3000,NE@JAX 09/16/2018 04:25PM ET,NE,0
K,Josh Lambo (11259196),Josh Lambo,11259196,FLEX,2800,NE@JAX 09/16/2018 04:25PM ET,JAX,8
WR,Cordarrelle Patterson (11259197),Cordarrelle Patterson,11259197,FLEX,2600,NE@JAX 09/16/2018 04:25PM ET,NE,2.9
WR,D.J. Chark Jr. (11259236),D.J. Chark Jr.,11259236,CPT,1800,NE@JAX 09/16/2018 04:25PM ET,JAX,0
TE,Dwayne Allen (11259237),Dwayne Allen,11259237,CPT,1500,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,D.J. Chark Jr. (11259198),D.J. Chark Jr.,11259198,FLEX,1200,NE@JAX 09/16/2018 04:25PM ET,JAX,0
TE,Niles Paul (11259238),Niles Paul,11259238,CPT,1200,NE@JAX 09/16/2018 04:25PM ET,JAX,0
TE,Dwayne Allen (11259199),Dwayne Allen,11259199,FLEX,1000,NE@JAX 09/16/2018 04:25PM ET,NE,0
TE,James O'Shaughnessy (11259239),James O'Shaughnessy,11259239,CPT,900,NE@JAX 09/16/2018 04:25PM ET,JAX,0
TE,Niles Paul (11259200),Niles Paul,11259200,FLEX,800,NE@JAX 09/16/2018 04:25PM ET,JAX,0
TE,James O'Shaughnessy (11259201),James O'Shaughnessy,11259201,FLEX,600,NE@JAX 09/16/2018 04:25PM ET,JAX,0
WR,Corey Coleman (11259240),Corey Coleman,11259240,CPT,600,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Corey Coleman (11259202),Corey Coleman,11259202,FLEX,400,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Matthew Slater (11259241),Matthew Slater,11259241,CPT,300,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Bennie Fowler (11259242),Bennie Fowler,11259242,CPT,300,NE@JAX 09/16/2018 04:25PM ET,NE,0
RB,Kenjon Barner (11259243),Kenjon Barner,11259243,CPT,300,NE@JAX 09/16/2018 04:25PM ET,NE,0
TE,Jacob Hollister (11259244),Jacob Hollister,11259244,CPT,300,NE@JAX 09/16/2018 04:25PM ET,NE,0
RB,James Develin (11259245),James Develin,11259245,CPT,300,NE@JAX 09/16/2018 04:25PM ET,NE,6.2
WR,Julian Edelman (11259246),Julian Edelman,11259246,CPT,300,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Braxton Berrios (11259247),Braxton Berrios,11259247,CPT,300,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Cody Hollister (11259248),Cody Hollister,11259248,CPT,300,NE@JAX 09/16/2018 04:25PM ET,NE,0
RB,Tommy Bohanon (11259249),Tommy Bohanon,11259249,CPT,300,NE@JAX 09/16/2018 04:25PM ET,JAX,0
WR,Rashad Greene Sr. (11259250),Rashad Greene Sr.,11259250,CPT,300,NE@JAX 09/16/2018 04:25PM ET,JAX,0
WR,Jaydon Mickens (11259251),Jaydon Mickens,11259251,CPT,300,NE@JAX 09/16/2018 04:25PM ET,JAX,0
WR,Matthew Slater (11259203),Matthew Slater,11259203,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Bennie Fowler (11259204),Bennie Fowler,11259204,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,NE,0
RB,Kenjon Barner (11259205),Kenjon Barner,11259205,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,NE,0
TE,Jacob Hollister (11259206),Jacob Hollister,11259206,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,NE,0
RB,James Develin (11259207),James Develin,11259207,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,NE,6.2
WR,Julian Edelman (11259208),Julian Edelman,11259208,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Braxton Berrios (11259209),Braxton Berrios,11259209,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,NE,0
WR,Cody Hollister (11259210),Cody Hollister,11259210,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,NE,0
RB,Tommy Bohanon (11259211),Tommy Bohanon,11259211,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,JAX,0
WR,Rashad Greene Sr. (11259212),Rashad Greene Sr.,11259212,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,JAX,0
WR,Jaydon Mickens (11259213),Jaydon Mickens,11259213,FLEX,200,NE@JAX 09/16/2018 04:25PM ET,JAX,0
