Position,Name + ID,Name,ID,Roster Position,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Drew Brees (11182749),Drew Brees,11182749,T1,TB@NO 09/09/2018 01:00PM ET,NO,18.13
QB,Tom Brady (11182747),Tom Brady,11182747,T1,HOU@NE 09/09/2018 01:00PM ET,NE,20.73
QB,Deshaun Watson (11182750),Deshaun Watson,11182750,T1,HOU@NE 09/09/2018 01:00PM ET,HOU,26.27
QB,Russell Wilson (11182751),Russell Wilson,11182751,T1,SEA@DEN 09/09/2018 04:25PM ET,SEA,23.18
QB,Cam Newton (11182748),Cam Newton,11182748,T1,DAL@CAR 09/09/2018 04:25PM ET,CAR,20.66
QB,Kirk Cousins (11182753),Kirk Cousins,11182753,T2,SF@MIN 09/09/2018 01:00PM ET,MIN,19.41
QB,Marcus Mariota (11182755),Marcus Mariota,11182755,T2,TEN@MIA 09/09/2018 01:00PM ET,TEN,16.57
QB,Andrew Luck (11182756),Andrew Luck,11182756,T2,CIN@IND 09/09/2018 01:00PM ET,IND,0
QB,Ben Roethlisberger (11182752),Ben Roethlisberger,11182752,T2,PIT@CLE 09/09/2018 01:00PM ET,PIT,20.57
QB,Philip Rivers (11182754),Philip Rivers,11182754,T2,KC@LAC 09/09/2018 04:05PM ET,LAC,18.71
QB,Patrick Mahomes II (11182757),Patrick Mahomes II,11182757,T2,KC@LAC 09/09/2018 04:05PM ET,KC,11.36
RB,Alvin Kamara (11182761),Alvin Kamara,11182761,T3,TB@NO 09/09/2018 01:00PM ET,NO,19.9
WR,DeAndre Hopkins (11182762),DeAndre Hopkins,11182762,T3,HOU@NE 09/09/2018 01:00PM ET,HOU,21.72
RB,Le'Veon Bell (11182758),Le'Veon Bell,11182758,T3,PIT@CLE 09/09/2018 01:00PM ET,PIT,24.69
WR,Antonio Brown (11182760),Antonio Brown,11182760,T3,PIT@CLE 09/09/2018 01:00PM ET,PIT,24.63
RB,Ezekiel Elliott (11182763),Ezekiel Elliott,11182763,T3,DAL@CAR 09/09/2018 04:25PM ET,DAL,21.92
RB,David Johnson (11182759),David Johnson,11182759,T3,WAS@ARI 09/09/2018 04:25PM ET,ARI,14
RB,Leonard Fournette (11182765),Leonard Fournette,11182765,T4,JAX@NYG 09/09/2018 01:00PM ET,JAX,19.24
RB,Saquon Barkley (11182769),Saquon Barkley,11182769,T4,JAX@NYG 09/09/2018 01:00PM ET,NYG,0
TE,Rob Gronkowski (11182767),Rob Gronkowski,11182767,T4,HOU@NE 09/09/2018 01:00PM ET,NE,16.22
WR,Keenan Allen (11182764),Keenan Allen,11182764,T4,KC@LAC 09/09/2018 04:05PM ET,LAC,19.08
RB,Kareem Hunt (11182766),Kareem Hunt,11182766,T4,KC@LAC 09/09/2018 04:05PM ET,KC,19.29
RB,Melvin Gordon (11182768),Melvin Gordon,11182768,T4,KC@LAC 09/09/2018 04:05PM ET,LAC,18.38
RB,Christian McCaffrey (11182770),Christian McCaffrey,11182770,T4,DAL@CAR 09/09/2018 04:25PM ET,CAR,15.25
WR,Odell Beckham Jr. (11182773),Odell Beckham Jr.,11182773,T5,JAX@NYG 09/09/2018 01:00PM ET,NYG,18.5
WR,Michael Thomas (11182771),Michael Thomas,11182771,T5,TB@NO 09/09/2018 01:00PM ET,NO,17.56
WR,Adam Thielen (11182774),Adam Thielen,11182774,T5,SF@MIN 09/09/2018 01:00PM ET,MIN,15.16
WR,A.J. Green (11182772),A.J. Green,11182772,T5,CIN@IND 09/09/2018 01:00PM ET,CIN,14.86
WR,T.Y. Hilton (11182775),T.Y. Hilton,11182775,T5,CIN@IND 09/09/2018 01:00PM ET,IND,11.79
TE,Travis Kelce (11182777),Travis Kelce,11182777,T5,KC@LAC 09/09/2018 04:05PM ET,KC,16.44
WR,Larry Fitzgerald (11182776),Larry Fitzgerald,11182776,T5,WAS@ARI 09/09/2018 04:25PM ET,ARI,17.15
RB,LeSean McCoy (11182783),LeSean McCoy,11182783,T6,BUF@BAL 09/09/2018 01:00PM ET,BUF,17.32
WR,Mike Evans (11182778),Mike Evans,11182778,T6,TB@NO 09/09/2018 01:00PM ET,TB,13.74
WR,Stefon Diggs (11182780),Stefon Diggs,11182780,T6,SF@MIN 09/09/2018 01:00PM ET,MIN,15.31
RB,Dalvin Cook (11182782),Dalvin Cook,11182782,T6,SF@MIN 09/09/2018 01:00PM ET,MIN,17.35
WR,Tyreek Hill (11182779),Tyreek Hill,11182779,T6,KC@LAC 09/09/2018 04:05PM ET,KC,17.21
WR,Doug Baldwin (11182781),Doug Baldwin,11182781,T6,SEA@DEN 09/09/2018 04:25PM ET,SEA,14.33
WR,Demaryius Thomas (11182784),Demaryius Thomas,11182784,T6,SEA@DEN 09/09/2018 04:25PM ET,DEN,13.12
RB,Alex Collins (11182790),Alex Collins,11182790,T7,BUF@BAL 09/09/2018 01:00PM ET,BAL,11.93
WR,Chris Hogan (11182786),Chris Hogan,11182786,T7,HOU@NE 09/09/2018 01:00PM ET,NE,11
RB,Lamar Miller (11182792),Lamar Miller,11182792,T7,HOU@NE 09/09/2018 01:00PM ET,HOU,12.09
RB,Jerick McKinnon (11182789),Jerick McKinnon,11182789,T7,SF@MIN 09/09/2018 01:00PM ET,SF,12.21
