"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"27955-11612","WR","Antonio","Antonio Brown","Brown","18.557141985212052","14","9000","PIT@CLE","PIT","CLE","","","","",""
"27955-30447","RB","Todd","Todd Gurley II","Gurley II","23.419999186197916","15","9000","LAR@OAK","LAR","OAK","","","","",""
"27955-28181","RB","Le'Veon","Le'Veon Bell","Bell","19.940000406901042","15","8900","PIT@CLE","PIT","CLE","Q","Contract dispute","","",""
"27955-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","17.45333251953125","15","8800","HOU@NE","HOU","NE","","","","",""
"27955-6894","QB","Aaron","Aaron Rodgers","Rodgers","19.371429443359375","7","8700","CHI@GB","GB","CHI","","","","",""
"27955-42104","RB","Alvin","Alvin Kamara","Kamara","17.493749618530273","16","8700","TB@NO","NO","TB","","","","",""
"27955-6498","QB","Tom","Tom Brady","Brady","18.99250030517578","16","8600","HOU@NE","NE","HOU","","","","",""
"27955-62497","RB","David","David Johnson","Johnson","10","1","8600","WAS@ARI","ARI","WAS","","","","",""
"27955-28573","WR","Michael","Michael Thomas","Thomas","12.90625","16","8500","TB@NO","NO","TB","","","","",""
"27955-6504","QB","Drew","Drew Brees","Brees","16.90999984741211","16","8400","TB@NO","NO","TB","","","","",""
"27955-14187","WR","A.J.","A.J. Green","Green","11.831250190734863","16","8400","CIN@IND","CIN","IND","","","","",""
"27955-14190","WR","Julio","Julio Jones","Jones","12.993749618530273","16","8300","ATL@PHI","ATL","PHI","","","","",""
"27955-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","19.019999694824218","10","8300","DAL@CAR","DAL","CAR","","","","",""
"27955-54879","QB","Deshaun","Deshaun Watson","Watson","25.265714372907365","7","8200","HOU@NE","HOU","NE","","","","",""
"27955-28900","RB","Melvin","Melvin Gordon","Gordon","16.193750381469727","16","8100","KC@LAC","LAC","KC","","","","",""
"27955-45889","WR","Davante","Davante Adams","Adams","13.25","14","8100","CHI@GB","GB","CHI","","","","",""
